Date,Open,High,Low,Close,Adj Close,Volume
11/22/2009,2487.781006,2494.824951,2386.72998,2393.519043,2393.447998,21961748800
11/29/2009,2393.416016,2512.663086,2370.530029,2511.544922,2511.470215,21727689200
12/6/2009,2511.955078,2519.099121,2462.879883,2519.099121,2519.024414,14738098600
12/13/2009,2519.303955,2542.503906,2481.696045,2509.575928,2509.501221,14259089800
12/20/2009,2508.964111,2509.37793,2415.346924,2474.883057,2474.80957,7129542000
12/27/2009,2475.086914,2534.355957,2475.086914,2534.355957,2534.280762,6568143000
1/3/2010,2533.947998,2622.115967,2532.895996,2614.370117,2614.29248,24618652400
1/10/2010,2615.60791,2661.927979,2615.60791,2647.090088,2647.011475,25384414400
1/17/2010,2645.441895,2689.774902,2580.167969,2610.340088,2610.262695,16975661800
1/24/2010,2609.730957,2619.978027,2554.88208,2610.795898,2610.718506,15708598800
1/31/2010,2610.593018,2613.673096,2506.888916,2518.976074,2518.901367,17409396200
2/7/2010,2518.606934,2536.565918,2431.837891,2534.136963,2534.061768,17228253200
2/14/2010,2533.733887,2581.600098,2510.958984,2554.375977,2554.300049,12295615500
2/21/2010,2554.779053,2583.695068,2536.092041,2549.032959,2548.957275,11541842400
2/28/2010,2548.831055,2585.832031,2545.893066,2578.771973,2578.695557,12898678600
3/7/2010,2578.974121,2687.11792,2578.974121,2666.510986,2666.431885,18397467200
3/14/2010,2666.409912,2779.355957,2658.554932,2742.974121,2742.892578,19431305600
3/21/2010,2742.672119,2814.861084,2698.262939,2813.082031,2812.998535,17711818200
3/28/2010,2813.490967,2834.240967,2758.261963,2829.996094,2829.912109,17131416800
4/4/2010,2831.031006,2916.108887,2831.031006,2845.010986,2844.926758,28814556800
4/11/2010,2845.614014,2913.718018,2845.614014,2878.670898,2878.585449,24430228800
4/18/2010,2877.968018,2927.394043,2811.788086,2924.730957,2924.644043,23241632800
4/25/2010,2924.931885,2972.916992,2875.667969,2971.251953,2971.163818,24815262400
5/2/2010,2971.74707,2996.418945,2705.205078,2739.333008,2739.251709,22965391200
5/9/2010,2739.927002,2869.486084,2739.927002,2858.38501,2858.300293,16378718200
5/16/2010,2857.989014,2857.989014,2584.968994,2623.220947,2623.143066,19675398000
5/23/2010,2623.716064,2732.062012,2502.053955,2713.923096,2713.842529,23248722500
5/30/2010,2714.319092,2823.864014,2714.319092,2823.250977,2823.167236,28390635600
6/6/2010,2820.875,2820.875,2698.281006,2801.898926,2801.815674,18908857400
6/13/2010,2802.096924,2932.063965,2802.096924,2929.589111,2929.502197,21282541200
6/20/2010,2929.985107,2981.278076,2899.266113,2947.022949,2946.935547,20097759200
6/27/2010,2947.219971,2975.895996,2844.447998,2871.553955,2871.46875,14512484200
7/4/2010,2871.948975,2943.959961,2864.746094,2943.895996,2943.808594,15253062000
7/11/2010,2942.126953,2994.586914,2940.604004,2992.449951,2992.361084,19045861200
7/18/2010,2992.155029,3051.36499,2948.029053,3042.02002,3041.929688,21593353400
7/25/2010,3042.11792,3104.079102,3014.551025,3069.280029,3069.188965,19908092800
8/1/2010,3070.278076,3084.167969,2959.753906,3060.593018,3060.502197,16682175400
8/8/2010,3057.548096,3083.288086,2993.769043,3053.01001,3052.919434,12552207600
8/15/2010,3052.910889,3118.6521,3032.425049,3117.719971,3117.627441,16304638600
8/22/2010,3117.427002,3150.158936,3089.689941,3104.73291,3104.640869,28765035600
8/29/2010,3105.220947,3164.362061,3058.051025,3164.2771,3164.18335,15300781000
9/5/2010,3164.4729,3239.454102,3164.4729,3230.887939,3230.791992,6527058000
9/12/2010,3232.079102,3390.555908,3232.079102,3384.653076,3384.552734,9777672000
9/19/2010,3384.555908,3405.849121,3313.312012,3397.625977,3397.525146,15652078000
9/26/2010,3397.821045,3550.034912,3397.821045,3547.11499,3547.009766,23929691200
10/3/2010,3547.310059,3630.385986,3532.013916,3546.954102,3546.848877,27076799200
10/10/2010,3547.721924,3645.610107,3535.783936,3597.031006,3596.924316,32066738400
10/17/2010,3596.839111,3610.559082,3537.089111,3597.745117,3597.638428,26398621200
